Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
Sophonisba of so mouing tongs?,movement,anatomy,,,,,
his great hart sunke with shame:,anatomy,consumption,etiquette,,,,
"His eyes lost spirite, ",anatomy,privation,character_traits__nature,,,,
"his heat of life, Sanke from his face, as one that stood benumbde, All mazde, t'effect impossibilities,",temperature,life,consumption,anatomy,sensations,mental_faculty__state__entities,
long time he tossd his thoughts,time,violence,mental_faculty__state__entities,,,,
"as you see a snow ball being rolde At first a handfull, yet long bould about, Insensibly acquires a mighty globe, So his cold griefe through agitation growes,",sensations,nature,physical_activities,anatomy,size,temperature,emotions
"misdoubt him not, when hee's your slave like me",mental_faculty__state__entities,social_status,,,,,
"Do not graspe that which is too hote to hold, We grace your griefe, and hold it with soft sense.",adhesion,temperature,recognition,emotions,,,
"Rome and Scipio daine to beare So low a breast, as for her say, we feare.",politics,derision__offense___contempt,labor,spatial,anatomy,language,emotions
"VVhen th'whole worlds giddy one man cannot reele,",nature,joviality,quantities,mental_faculty__state__entities,spatial,,
"Starue your leane hopes,",food,physical_attributes,emotions,,,,
behold A sight would sad the Gods? make Phaebus cold.,sensations,emotions,religion,myth,temperature,,
"Burst my vext heart, the torture that most rackes An enimie, is his foes royall actes.",violence,anatomy,social_relations,politics,,,
"The glory of your vertue live for euer,",recognition,ethics,life,time,,,
"Braue heartes may be obscur'd, but extinct neuer.",character_traits__nature,anatomy,concealment,destruction,time,,
Liue worth your fame As far from faintings as from now base name.,life,ethics,recognition,spatial,physical_attributes,language,
Thou whom like sparkling steele the strokes of Chance Made hard and firme,light,weapons__armor,violence,luck,character_traits__nature,,
"and like wild fier turnd The more cold fate, more bright your vertue burnd, And in whole seas of miseries didst flame.",fire,temperature,mystical,light,ethics,nature,suffering
"you for whom I drinke So deepe of greefe, ",food,spatial,emotions,,,,
"he must onely thinke, Not dare to speake, that would expresse my woe, Small riuers murmur, deepe gulfes silent flow,",mental_faculty__state__entities,language,emotions,size,nature,sounds,spatial
"I change my person, and do hether beare Anothers voyce, who with a phrase as weak As his deserts now will'd me (thus form'd) speake,",transformation,character_traits__nature,labor,sounds,language,recognition,mental_faculty__state__entities
"if he whose fiers, Enuy not others nor him selfe admires.",fire,emotions,recognition,,,,
"If sceans exempt from ribaldrie or rage, Of taxinges indiscreet, may please the stage,",theatre,ethics,emotions,economics,feelings,,
"Yet craues as due, the iustice of your hands",emotions,recognition,judiciary,anatomy,,,
"With constant modesty he doth submit, To all, saue those that have more tongue then wit.",character_traits__nature,social_relations,anatomy,mental_faculty__state__entities,,,
this dotage of our general's Overflows the measure,mental_faculty__state__entities,military,nature,size,,,
"those his goodly eyes, That o'er the files and musters of the war Have glow'd like plated Mars, now bend, now turn, The office and devotion of their view Upon a tawny front",anatomy,military,light,weapons__armor,myth,devotion,appearance
"his captain's heart, Which in the scuffles of great fights has burst The buckles on his breast, reneges all temper",military,anatomy,violence,clothes,privation,emotions,
[his captain's heart] is become the bellows and the fan To cool a gipsy's lust.,military,anatomy,temperature,ethnicity__nationality,sexuality,,
The triple pillar of the world transform'd Into a strumpet's fool,quantities,architecture,nature,transformation,sexuality,theatre,
There's beggary in the love that can be reckon'd.,economics,emotions,,,,,
"I'll set a bourn how far to be beloved. --Then must you needs find out new heaven, new earth.",politics,spatial,emotions,discovering,geography,religion,nature
"Thou blushest, Antony; and that blood of your Is Caesar's homager: ",facial_expressions,anatomy,devotion,,,,
else so your cheek pays shame [blushes] When shrill-tongued Fulvia scolds,anatomy,economics,etiquette,facial_expressions,sounds,derision__offense___contempt,
"Let Rome in Tiber melt, and the wide arch Of the ranged empire fall!",politics,nature,consumption,architecture,destruction,spatial,
"Kingdoms are clay, our dungy earth alike Feeds beast as man",politics,materials,nature,food,animals,humanity,
"such a twain can do't [kissing], in which I bind, On pain of punishment, the world to weet We stand up peerless.",sexuality,incarceration,suffering,judiciary,nature,social_status,
There's not a minute of our lives should stretch Without some pleasure now,time,life,privation,sexuality,,,
"every passion fully strives To make itself, in thee, fair and admired!",emotions,labor,appearance,mental_faculty__state__entities,,,
"when he is not Antony, He comes too short of that great property Which still should go with Antony.",character_traits__nature,privation,spatial,,,,
"this husband, which, you say, must charge his horns with garlands!",matrimony,games__sports,animals,nature,,,
In nature's infinite book of secrecy A little I can read.,nature,size,language,mystical,,,
You shall be more beloving than beloved. --I had rather heat my liver with drinking.,emotions,temperature,anatomy,food,,,
"Let me be married to three kings in a forenoon, and widow them all",matrimony,quantities,politics,time,death,,
I love long life better than figs.,emotions,time,life,food,,,
"If every of your wishes had a womb And fertile every wish, a million.",emotions,reproduction,quantities,,,,
"Out, fool! I forgive thee for a witch.",mental_faculty__state__entities,social_relations,mystical,,,,
your sheets are privy to your wishes.,domestic,social_relations,emotions,,,,
"Mine, and most of our fortunes, tonight, shall be drunk to bed.",mystical,food,sexuality,,,,
"There's a palm presages chastity, if nothing else. --Even as the o'erflowing Nilus presageth famine.",anatomy,mental_faculty__state__entities,sexuality,nature,food,,
"if an oily palm be not a fruitful prognostication, I cannot scratch mine ear",physical_attributes,anatomy,reproduction,mystical,physical_activities,,
Am I not an inch of fortune better than she? [] Not in my husband's nose.,size,mystical,matrimony,anatomy,,,
Our worser thoughts heavens mend!,mental_faculty__state__entities,religion,ethics,,,,
"the worst of all follow him laughing to his grave, fifty-fold a cuckold!",suffering,movement,derision__offense___contempt,death,quantities,sexuality,
"as it is a heartbreaking to see a handsome man loose-wived, so it is a deadly sorrow to behold a foul knave uncuckolded",emotions,sensations,appearance,matrimony,death,ethics,sexuality
He was disposed to mirth; but on the sudden A Roman thought has struck him,joviality,politics,mental_faculty__state__entities,violence,,,
The nature of bad news infects the teller.,suffering,medicine,language,,,,
"Who tells me true, though in his tale lie death, I hear him as he flatter'd.",language,death,sensations,recognition,,,
"Speak to me home, mince not the general tongue",language,domestic,violence,anatomy,social_status,,
taunt my faults With such full licence as both truth and malice Have power to utter,derision__offense___contempt,character_traits__nature,social_relations,language,ethics,,
"we bring forth weeds, When our quick minds lie still; and our ills told us Is as our earing",architecture,speed,mental_faculty__state__entities,hindrance,character_traits__nature,language,
"These strong Egyptian fetters I must break, Or lose myself in dotage.",ethnicity__nationality,incarceration,violence,privation,character_traits__nature,mental_faculty__state__entities,
"What our contempt doth often hurl from us, We wish it ours again",derision__offense___contempt,privation,emotions,,,,
The hand could pluck her back that shoved her on.,anatomy,violence,spatial,movement,,,
"Ten thousand harms, more than the ills I know, My idleness doth hatch.",quantities,injuries,ethics,mental_faculty__state__entities,character_traits__nature,animals,
we kill all our women: we see how mortal an unkindness is to them,violence,women,sensations,death,character_traits__nature,,
"if they [women] suffer our [men] departure, death's the word.",women,suffering,men,privation,death,language,
"catching but the least noise of this, dies instantly; I have seen her die twenty times upon far poorer moment",sounds,death,sensations,quantities,time,,
"there is mettle in death, which commits some loving act upon her, she has such a celerity in dying.",character_traits__nature,death,emotions,sexuality,speed,,
She is cunning past man's thought.,deception,spatial,men,mental_faculty__state__entities,,,
her passions are made of nothing but the finest part of pure love,emotions,materials,cleaning,,,,
we cannot call her winds and waters sighs and tears; they are greater storms and tempests than almanacs can report,language,nature,sounds,anatomy,astrology,,
she makes a shower of rain as well as Jove.,nature,religion,,,,,
you had then left unseen a wonderful piece of work; which not to have been blest withal would have discredited your travel.,privation,sensations,art,religion,mental_faculty__state__entities,geography,
"when it pleaseth their deities to take the wife of a man from him, it shows to man the tailors of the earth; ",feelings,religion,matrimony,men,clothes,nature,
"comforting therein, that when old robes are worn out, there are members to make new. ",feelings,consumption,clothes,women,,,
this grief is crowned with consolation; your old smock brings forth a new petticoat,emotions,politics,clothes,,,,
the tears live in an onion that should water this sorrow.,anatomy,life,food,nature,emotions,,
"the main soldier: whose quality, going on, The sides o' the world may danger",military,character_traits__nature,spatial,nature,danger__safety,,
"much is breeding, Which, like the courser's hair, has yet but life, And not a serpent's poison.",reproduction,equestrian,anatomy,life,animals,violence,
Thou teachest like a fool; the way to lose him.,education,mental_faculty__state__entities,privation,,,,
I am sorry to give breathing to my purpose,feelings,breathing,mental_faculty__state__entities,,,,
the sides of nature Will not sustain it.,spatial,nature,preservation,,,,
I saw the treasons planted.,sensations,politics,architecture,,,,
"you in swearing shake the throned gods,",language,violence,politics,religion,,,
"Riotous madness, To be entangled with those mouth-made vows, Which break themselves in swearing!",mental_faculty__state__entities,hunting__fishing,anatomy,language,violence,,
"Eternity was in our lips and eyes, Bliss in our brows' bent",time,anatomy,religion,,,,
"none our parts so poor, But was a race of heaven",anatomy,ethnicity__nationality,religion,,,,
I would I had your inches; you shouldst know There were a heart in Egypt.,size,mental_faculty__state__entities,anatomy,politics,,,
my full heart Remains in use with you,anatomy,preservation,economics,,,,
Our Italy [country] Shines over with civil swords,politics,light,weapons__armor,,,,
Equality of two domestic powers Breed scrupulous faction,politics,domestic,mental_faculty__state__entities,reproduction,,,
"Rich in his father's honour, creeps apace, Into the hearts of such as have not thrived Upon the present state",economics,familial,recognition,movement,anatomy,politics,spatial
"quietness, grown sick of rest, would purge By any desperate change",feelings,medicine,physical_activities,transformation,,,
"Though age from folly could not give me freedom, It does from childishness",lifes_cycle,mental_faculty__state__entities,social_relations,,,,
read The garboils she awaked,language,social_unrest,sleep,,,,
Where be the sacred vials you shouldst fill With sorrowful water?,religion,emotions,nature,,,,
the fire That quickens Nilus' slime,fire,speed,nature,,,,
"weep for her, then bid adieu to me, and say the tears Belong to Egypt ; ",emotions,greetings,language,anatomy,politics,,
play one scene Of excellent dissembling; and let it look Life perfect honour.,theatre,deception,appearance,life,devotion,,
You'll heat my blood,temperature,anatomy,,,,,
How this Herculean Roman does become The carriage of his chafe.,myth,ethnicity__nationality,movement,emotions,,,
"my oblivion is a very Antony, And I am all forgotten.",emotions,mental_faculty__state__entities,,,,,
"But that your royalty Holds idleness your subject, I should take you For idleness itself.",social_status,character_traits__nature,politics,,,,
Tis sweating labour To bear such idleness so near the heart,labor,character_traits__nature,spatial,anatomy,,,
"my becomings kill me, when they do not Eye well to you",etiquette,violence,feelings,anatomy,,,
honour calls you hence; Therefore be deaf to my unpitied folly.,recognition,commands,deformities__disabilities,emotions,mental_faculty__state__entities,,
upon your sword Sit laurel victory! and smooth success Be strew'd before your feet!,weapons__armor,nature,military,recognition,anatomy,,
"thou, residing here, go'st yet with me, And I, hence fleeting, her remain with thee.",accommodation,movement,danger__safety,preservation,,,
"drinks, and wastes The lamps of night in revel",food,consumption,light,darkness,joviality,,
is not more man-like Than Cleopatra; nor the queen of Ptolemy More womanly than he,men,politics,historical,women,,,
A man who is the abstract of all faults That all men follow.,men,mental_faculty__state__entities,character_traits__nature,devotion,,,
there are Evils enow to darken all his goodness,ethics,darkness,character_traits__nature,,,,
"His faults in him seem as the spots of heaven, More fiery by night's blackness; ",character_traits__nature,cleaning,religion,fire,darkness,,
To give a kingdom for a mirth;,economics,politics,joviality,,,,
To sit and keep the turn of tippling with a slave;,preservation,games__sports,food,social_status,,,
As his composure must be rare indeed Whom these things [being drunk] cannot blemish,character_traits__nature,food,cleaning,,,,
"No way excuse his soils, when we do bear So great weight in his lightness.",judiciary,cleaning,labor,weight,joviality,,
"If he fill'd His vacancy with his voluptuousness, Full surfeits, and the dryness of his bones",spatial,sexuality,food,anatomy,physical_attributes,,
"to confound such time, That drums him from his sport, and speaks as loud As his own state and ours,--",consumption,time,music,games__sports,language,sounds,politics
"tis to be chid As we rate boys, who, being mature in knowledge, Pawn their experience to their present pleasure, And so rebel to judgment.",etiquette,lifes_cycle,mental_faculty__state__entities,economics,time,feelings,resistance
"the ebbed man, never loved till never worth love, Comes deared by being lack'd. ",nature,time,emotions,economics,privation,,
"This common body, Like to a vagabond flag upon the stream, Goes to and back, lackeying the varying tide, To rot itself with motion.",anatomy,social_status,politics,nature,consumption,movement,
"famous pirates, Make the sea serve them, which they ear and wound With keels of every kind",recognition,nautical,nature,devotion,injuries,,
many hot inroads They make in Italy; ,temperature,spatial,politics,,,,
"the borders maritime Lack blood to think on't, and flush youth revolt",spatial,nautical,privation,anatomy,mental_faculty__state__entities,lifes_cycle,social_unrest
Pompey's name strikes more Than could his war resisted.,language,violence,military,,,,
at your heel Did famine follow; ,anatomy,food,social_relations,,,,
"you fought'st against [famine],Though daintily brought up, with patience more Than savages could suffer",violence,food,economics,character_traits__nature,suffering,,
[drink] the gilded puddle Which beasts would cough at,food,anatomy,economics,animals,medicine,,
"like the stag, when snow the pasture sheets, The barks of trees you browsed'st",animals,nature,food,,,,
"It is reported you didst eat strange flesh, Which some did die to look on",food,mental_faculty__state__entities,death,sensations,,,
"It wounds your honour that I speak it now, was borne so like a soldier, that your cheek So much as lanked not.",violence,recognition,language,military,anatomy,physical_attributes,
I might sleep out this great gap of time My Antony is away.,sleep,privation,time,emotions,,,
"O happy horse, to bear the weight of Antony!",emotions,equestrian,labor,weight,,,
"The demi-Atlas of this earth, the arm And burgonet of men. ",myth,nature,anatomy,weapons__armor,men,,
murmuring 'Where's my serpent of old Nile?' For so he calls me,sounds,animals,nature,women,language,,
"That am with Phoebus' amorous pinches black, And wrinkled deep in time?",myth,emotions,nature,colors,appearance,spatial,time
I was a morsel for a monarch,food,politics,,,,,
stand and make his eyes grow in my brow; There would he anchor his aspect and die With looking on his life.,anatomy,size,nautical,death,sensations,life,
that great medicine has With his tinct gilded thee.,medicine,alchemy,economics,,,,
His speech sticks in my heart. --Mine ear must pluck it thence.,language,adhesion,anatomy,violence,,,
"at whose foot, To mend the petty present, I will piece Her opulent throne with kingdoms; all the east, Say thou, shall call her mistress.'",anatomy,social_relations,time,economics,politics,geography,language
"Like to the time o' the year between the extremes Of hot and cold, he was nor sad nor merry.",time,temperature,emotions,,,,
"He was not sad, for he would shine on those That make their looks by his",emotions,light,sensations,appearance,,,
"O heavenly mingle! Be'st you sad or merry, The violence of either thee becomes, So does it no man else.",religion,adhesion,emotions,violence,character_traits__nature,,
"Who's born that day When I forget to send [a messenger] to Antony, Shall die a beggar.",reproduction,time,men,commands,death,economics,
Be choked with such another emphasis!,violence,language,,,,,
"My salad days, When I was green in judgment: cold in blood, To say as I said then!",nature,time,colors,mental_faculty__state__entities,temperature,anatomy,language
"He shall have every day a several greeting, Or I'll unpeople Egypt.",time,greetings,privation,politics,,,
"Whiles we are suitors to their [gods'] throne, decays The thing we sue for.",judiciary,religion,politics,consumption,,,
"We, ignorant of ourselves, Beg often our own harms, which the wise powers Deny us for our good; so find we profit By losing of our prayers.",mental_faculty__state__entities,economics,suffering,privation,ethics,religion,
"My powers are crescent, and my auguring hope Says it will come to the full. ",military,astrology,mystical,emotions,language,,
No wars without doors,military,architecture,,,,,
gets money where He loses hearts,economics,privation,anatomy,,,,
tis false.  He dreams,deception,mental_faculty__state__entities,,,,,
"But all the charms of love, Salt Cleopatra, soften your waned lip!",mystical,emotions,food,sexuality,consumption,anatomy,
"Let witchcraft join with beauty, lust with both!",mystical,adhesion,appearance,sexuality,,,
"Tie up the libertine in a field of feasts, Keep his brain fuming; ",incarceration,sexuality,nature,food,preservation,anatomy,
Epicurean cooks Sharpen with cloyless sauce his appetite; That sleep and feeding may prorogue his honour Even till a Lethe'd dulness!,food,sleep,time,devotion,myth,mental_faculty__state__entities,
This amorous surfeiter would have donn'd his helm For such a petty war,sexuality,food,weapons__armor,military,,,
"let us rear The higher our opinion, that our stirring Can from the lap of Egypt's widow pluck The never-lust-wearied Antony.",spatial,mental_faculty__state__entities,anatomy,politics,matrimony,violence,sexuality
"how the fear of us May cement their divisions and bind up The petty difference, ",emotions,architecture,politics,adhesion,,,
"if Caesar move him, Let Antony look over Caesar's head And speak as loud as Mars",derision__offense___contempt,spatial,anatomy,language,sounds,myth,
"Were I the wearer of Antonius' beard, I would not shave't to-day.",clothes,anatomy,appearance,time,,,
Tis not a time For private stomaching.,time,domestic,food,,,,
Every time Serves for the matter that is then born in't.,time,devotion,reproduction,,,,
Your speech is passion:  stir no embers up. ,language,emotions,movement,fire,,,
"when we debate Our trivial difference loud, we do commit Murder in healing wounds",language,politics,sounds,violence,medicine,injuries,
"Your wife and brother Made wars upon me; and their contestation Was theme for you, you were the word of war.",matrimony,familial,military,violence,language,,
"make the wars alike against my stomach,",military,anatomy,,,,,
"If you'll patch a quarrel,",clothes,violence,,,,,
You patch'd up your excuses.,clothes,judiciary,,,,,
Could not with graceful eyes attend those wars Which fronted mine own peace.,anatomy,social_relations,military,resistance,politics,,
"The third o' the world is yours; which with a snaffle You may pace easy, but not such a wife.",quantities,politics,equestrian,movement,matrimony,,
"So much uncurbable, her garboils  Made out of her impatience, ",medicine,social_unrest,character_traits__nature,,,,
"if we contend, Out of our question wipe him.",violence,language,cleaning,,,,
when poison'd hours had bound me up From mine own knowledge. ,violence,time,incarceration,mental_faculty__state__entities,,,
I'll play the penitent to you,theatre,feelings,,,,,
"mine honesty Shall not make poor my greatness, nor my power Work without it. ",character_traits__nature,economics,social_status,labor,politics,,
to forget them [the griefs] quite Were to remember that the present need Speaks to atone you.,mental_faculty__state__entities,emotions,time,language,social_relations,,
if you borrow one another's love for the instant,economics,emotions,time,,,,
truth should be silent,language,sounds,,,,,
therefore speak no more. [] your considerate stone.,language,character_traits__nature,materials,,,,
"if I knew What hoop should hold us stanch, from edge to edge O' the world I would pursue it.",mental_faculty__state__entities,adhesion,social_relations,spatial,nature,discovering,
"To make you brothers, and to knit your hearts With an unslipping knot, take Antony Octavia to his wife;",familial,clothes,anatomy,matrimony,,,
virtue and whose general graces speak That which none else can utter,ethics,character_traits__nature,language,,,,
"truths would be tales, Where now half tales be truths",ethics,language,quantities,deception,,,
"May I never To this good purpose [of wedding], that so fairly shows, Dream of impediment!",time,mental_faculty__state__entities,matrimony,appearance,hindrance,,
The heart of brothers govern in our loves,anatomy,familial,politics,emotions,,,
join [in marriage] our kingdoms and our hearts,matrimony,politics,anatomy,,,,
"I must thank him only, Lest my remembrance suffer ill report; At heel of that, defy him.",recognition,mental_faculty__state__entities,suffering,language,anatomy,resistance,
"we did sleep day out of countenance, and made the night light with drinking.",sleep,time,etiquette,darkness,mental_faculty__state__entities,food,
"This was but as a fly by an eagle: we had much more monstrous matter of feast, ",animals,quantities,deformities__disabilities,food,,,
"she pursed up his heart, ",economics,anatomy,,,,,
"The barge she sat in, like a burnish'd throne, Burn'd on the water",nautical,light,politics,fire,nature,,
"Purple the sails, and so perfumed that The winds were love-sick with them",colors,nautical,sensations,nature,emotions,medicine,
"the oars were silver, Which to the tune of flutes kept stroke, and made The water which they beat to follow faster, As amorous of their strokes.",nautical,economics,music,nature,movement,speed,emotions
"For her own person, It beggar'd all description",women,economics,language,,,,
"cloth-of-gold of tissue, Over-picturing that Venus where we see The fancy outwork nature",clothes,economics,art,myth,sensations,mental_faculty__state__entities,nature
"on each side her Stood pretty dimpled boys, like smiling Cupids, ",spatial,appearance,lifes_cycle,facial_expressions,myth,,
"With divers-colour'd fans, whose wind did seem To glow the delicate cheeks which they did cool,",colors,temperature,nature,light,anatomy,,
"Her gentlewomen, like the Nereides, So many mermaids, tended her i' the eyes, And made their bends adornings",women,myth,social_relations,anatomy,art,,
"at the helm A seeming mermaid steers: the silken tackle Swell with the touches of those flower-soft hands, That yarely frame the office",nautical,myth,materials,sensations,nature,anatomy,physical_activities
From the barge A strange invisible perfume hits the sense Of the adjacent wharfs. ,nautical,mental_faculty__state__entities,appearance,sensations,violence,spatial,
"Enthroned in the market-place, did sit alone, Whistling to the air; which, but for vacancy, Had gone to gaze on Cleopatra too, And made a gap in nature.",politics,economics,sounds,nature,spatial,sensations,
"Being barbered ten times over, goes to the feast, and for his ordinary pays his heart, For what his eyes eat only.",appearance,quantities,food,economics,anatomy,,
"She made great Caesar lay his sword to bed: He plough'd her, and she cropp'd.",weapons__armor,sexuality,architecture,,,,
"she spoke, and panted, That she did make defect perfection, And, breathless pour breath forth.",language,sounds,character_traits__nature,breathing,,,
"Age cannot wither her, nor custom stale Her infinite variety",lifes_cycle,consumption,etiquette,size,nature,,
other women cloy The appetites they feed: but she makes hungry Where most she satisfies,women,hindrance,food,sexuality,,,
vilest things Become themselves in her: that the holy priests Bless her when she is riggish.,ethics,religion,sexuality,,,,
"If beauty, wisdom, modesty, can settle The heart of Antony, Octavia is A blessed lottery to him.",appearance,mental_faculty__state__entities,character_traits__nature,feelings,anatomy,religion,luck
The world and my great office will sometimes Divide me from your bosom.,nature,politics,spatial,anatomy,,,
Read not my blemishes in the world's report,language,cleaning,politics,,,,
"I see it in My motion, have it not in my tongue",movement,privation,anatomy,,,,
"near him, your angel Becomes a fear, as being o'erpower'd: therefore Make space enough between you.",spatial,religion,emotions,social_relations,,,
"If you dost play with him at any game, Thou art sure to lose; and, of that natural luck, He beats thee 'gainst the odds: your lustre thickens, When he shines by",games__sports,luck,violence,light,consumption,,
your spirit Is all afraid to govern thee near him;,character_traits__nature,emotions,social_relations,spatial,,,
the very dice obey him; And in our sports my better cunning faints Under his chance,games__sports,commands,deception,medicine,luck,,
In the east my pleasure lies.,geography,feelings,,,,,
"music, moody food Of us that trade in love.",music,emotions,food,economics,,,
As well a woman with an eunuch played As with a woman. ,women,sexuality,games__sports,,,,
"when good will is show'd, though't come too short, The actor may plead pardon.",ethics,appearance,spatial,theatre,judiciary,,
"I will betray Tawny-finn'd fishes; my bended hook shall pierce Their slimy jaws; and, as I draw them up, I'll think them every one an Antony, And say 'Ah, ha! you're caught.'",deception,animals,hunting__fishing,violence,anatomy,mental_faculty__state__entities,
I laugh'd him out of patience; and that night I laugh'd him into patience,derision__offense___contempt,character_traits__nature,darkness,spatial,,,
"Ram you your fruitful tidings in mine ears, That long time have been barren.",violence,architecture,language,anatomy,time,,
"Antonius dead!--If you say so, villain, Thou kill'st your mistress",death,language,ethics,violence,,,
"To say the dead are well: bring it to that, The gold I give thee will I melt and pour Down your ill-uttering throat.",language,death,medicine,economics,violence,anatomy,
"Be free and healthful,--so tart a favour To trumpet such good tidings!",social_relations,medicine,suffering,facial_expressions,music,language,
"If not well, Thou shouldst come like a Fury crown'd with snakes, Not like a formal man.",medicine,movement,myth,politics,animals,,
But yet' is as a gaoler to bring forth Some monstrous malefactor.,incarceration,deformities__disabilities,judiciary,,,,
"Pour out the pack of matter to mine ear, The good and bad together:",food,anatomy,ethics,,,,
I'll spurn your eyes Like balls before me,violence,anatomy,games__sports,,,,
"Thou shalt be whipp'd with wire, and stew'd in brine, Smarting in lingering pickle.",violence,food,suffering,,,,
Some innocents 'scape not the thunderbolt.,judiciary,danger__safety,nature,,,,
Melt Egypt into Nile! and kindly creatures Turn all to serpents!,consumption,politics,nature,character_traits__nature,animals,,
give to a gracious message an host of tongues,language,social_relations,quantities,anatomy,,,
let ill tidings tell Themselves when they be felt.,language,sensations,,,,,
So half my Egypt were submerged and made A cistern for scaled snakes! ,quantities,politics,violence,nature,animals,,
"Hadst you Narcissus in your face, to me Thou wouldst appear most ugly.",myth,anatomy,appearance,,,,
"The merchandise which you hast brought from Rome Are all too dear for me: lie they upon your hand, And be undone by them!",economics,politics,anatomy,destruction,,,
"Though he be painted one way like a Gorgon, The other way's a Mars. ",art,myth,spatial,,,,
"[our written purposes] will tie up your discontented sword,",language,mental_faculty__state__entities,incarceration,feelings,weapons__armor,,
"The senators alone of this great world, Chief factors for the gods,",politics,nature,religion,,,,
"With the arm'd rest, courtiers and beauteous freedom, To drench the Capitol;",military,politics,appearance,social_relations,violence,,
my navy; at whose burthen The anger'd ocean foams; ,nautical,labor,emotions,nature,,,
To scourge the ingratitude that despiteful Rome,violence,recognition,derision__offense___contempt,politics,,,
"At land, indeed, Thou dost o'er-count me of my father's house: But, since the cuckoo builds not for himself, Remain in't as you mayst.",quantities,geography,familial,domestic,animals,architecture,preservation
weigh What it is worth embraced.,weight,economics,affection,,,,
The beds in the east are soft,domestic,geography,sexuality,,,,
I know not What counts harsh fortune casts upon my face;,mental_faculty__state__entities,mystical,violence,anatomy,,,
"in my bosom shall she [fortune] never come, To make my heart her vassal.",anatomy,women,mystical,time,social_status,,
"I ha' praised ye, When you have well deserved ten times as much As I have said you did.",recognition,quantities,language,,,,
"if our eyes had authority, here they might take two thieves kissing.",anatomy,politics,economics,affection,,,
"All men's faces are true, whatsome'er their hands are.",men,facial_expressions,language,anatomy,,,
there is never a fair woman has a true face.,time,women,language,facial_expressions,,,
they [women] steal hearts.,women,economics,anatomy,,,,
Pompey doth this day laugh away his fortune.,time,derision__offense___contempt,consumption,mystical,,,
he cannot weep it [fortune] back again.,emotions,mystical,movement,,,,
Then is Caesar and he for ever knit together.,politics,time,clothes,,,,
the band that seems to tie their friendship together will be the very strangler of their amity,clothes,social_relations,adhesion,violence,,,
He will to his Egyptian dish again,ethnicity__nationality,food,movement,,,,
the sighs of Octavia blow the fire up in Caesar,sounds,fire,familial,,,,
Some o' their plants are ill-rooted already: the least wind i' the world will blow them down.,nature,consumption,violence,,,,
it [the drink] raises the greater war between him and his discretion.,food,military,mental_faculty__state__entities,,,,
this is to have a name in great men's fellowship: I had as lief have a reed that will do me no service as a partisan I could not heave.,language,social_status,social_relations,nature,weapons__armor,,
"To be called into a huge sphere, and not to be seen to move in't, are the holes where eyes should be, which pitifully disaster the cheeks.",commands,size,spatial,sensations,movement,anatomy,destruction
"the higher Nilus swells, The more it promises",spatial,nature,language,quantities,,,
Your serpent of Egypt is bred now of your mud by the operation of your sun,animals,politics,reproduction,nature,,,
I have ever held my cap off to your fortunes.,social_relations,clothes,mystical,,,,
"Thou art, if you darest be, the earthly Jove: Whate'er the ocean pales, or sky inclips, Is thine, if you wilt ha't.",character_traits__nature,nature,religion,spatial,economics,,
"Tis not my profit that does lead mine honour; Mine honour, it.",economics,social_relations,character_traits__nature,,,,
Repent that e'er your tongue Hath so betray'd your act,feelings,anatomy,politics,violence,,,
"[strong fellow] he bears the third part of the world, man",physical_attributes,social_relations,labor,size,politics,,
It ripens towards it [an Alexanderian feast],architecture,ethnicity__nationality,joviality,,,,
"It's monstrous labour, when I wash my brain, And it grows fouler.",deformities__disabilities,labor,cleaning,anatomy,,,
Be a child of the time.,lifes_cycle,time,,,,,
I had rather fast from all four days Than drink so much in one.,food,time,quantities,,,,
"Shall we dance now the Egyptian Bacchanals, And celebrate our drink?",joviality,ethnicity__nationality,religion,food,,,
"let's all take hands, Till that the conquering wine has steep'd our sense In soft and delicate Lethe.",affection,anatomy,military,food,sensations,myth,
Make battery to our ears with the loud music,violence,anatomy,music,,,,
The holding every man shall bear as loud As his strong sides can volley.,music,labor,sounds,physical_attributes,language,,
"Come, you monarch of the vine, Plumpy Bacchus with pink eye! ",politics,food,physical_attributes,myth,colors,anatomy,
"In your [Bacchus] fats our cares be drowned, ",myth,food,feelings,violence,,,
With your [Bacchus] grapes our hairs be crown'd:,myth,food,anatomy,politics,,,
"Cup us, till the world go round",food,nature,movement,,,,
our graver business Frowns at this levity. ,politics,facial_expressions,joviality,,,,
we have burnt our cheeks,fire,anatomy,,,,,
mine own tongue Splits what it speaks: the wild disguise has almost Antick'd us all. ,anatomy,violence,language,food,mental_faculty__state__entities,,
Let Neptune hear we bid a loud farewell To these great fellows,myth,sensations,sounds,greetings,social_relations,,
Pleased fortune does of Marcus Crassus' death Make me revenger.,feelings,mystical,death,violence,,,
"with Parthian blood your sword is warm,",ethnicity__nationality,anatomy,weapons__armor,temperature,,,
"For quick accumulation of renown, Which he achieved by the minute, lost his favour.",speed,quantities,recognition,time,privation,social_relations,
"ambition, The soldier's virtue, rather makes choice of loss, Than gain which darkens him.",character_traits__nature,military,ethics,mental_faculty__state__entities,privation,economics,darkness
"in his name, That magical word of war, we have effected;",language,mystical,military,,,,
he's the Jupiter of men. -What's Antony? [sovereign] The god of Jupiter.,myth,mental_faculty__state__entities,politics,religion,,,
